District,Model,R2_Score,RMSE,MAE
AWV312,Poisson_Regression,0.046624861973955434,328.9817614721989,274.72027121018255
AWV312,Random_Forest,0.04686811964743598,328.9397882550463,278.0551224993804
AWV312,Gradient_Boosting,0.048104565277567235,328.72636125695215,274.59604331632835
AWV311,Linear_Regression,0.07945767944996307,259.85899016784396,214.87449450723406
AWV311,Ridge_Regression,0.08037182383246577,259.7299316582522,214.67712106327573
AWV311,Poisson_Regression,0.0776250669019295,260.11752476011213,214.990530903134
AWV311,Random_Forest,0.0066142112734335345,269.9447205171025,218.55406713804268
AWV311,Gradient_Boosting,-0.04249153737901312,276.53629240316354,223.4218498108432
AWV719,Linear_Regression,0.006661600945919832,85.02219576838097,62.81794457587836
AWV719,Ridge_Regression,0.13629563415887447,79.28047840406987,59.58913306202915
AWV719,Poisson_Regression,0.09828532183493877,81.00620269076123,61.55693970139729
AWV719,Random_Forest,-0.12560989191331084,90.50605918309842,71.28230566575738
AWV719,Gradient_Boosting,-0.10811965534551482,89.80014416014575,69.02374007531006
AWV214,Linear_Regression,0.20029820790713837,138.77970533411903,107.14506367887816
AWV214,Ridge_Regression,0.21455375165730117,137.53719447645307,106.11209766712565
AWV214,Poisson_Regression,0.21119647757511895,137.8308222647466,106.47245023519228
AWV214,Random_Forest,0.16329704635637354,141.95398130595018,111.42708287489103
AWV214,Gradient_Boosting,0.09615398888045523,147.53978602412695,114.74835874331043
AWV718,Linear_Regression,0.12922123967338783,204.7583507954334,141.30717794936902
AWV718,Ridge_Regression,0.14172632955330677,203.28278599297397,139.33282750453287
AWV718,Poisson_Regression,0.14828348047325435,202.5047639892067,139.62083589615122
AWV718,Random_Forest,-0.0023391409915010097,219.68229355722264,158.6139120026929
AWV718,Gradient_Boosting,0.13446131958459506,204.1413346163172,140.66384410510793
AWV717,Linear_Regression,0.029221303368718865,160.0074881505124,132.90404560315218
AWV717,Ridge_Regression,0.09240180244814744,154.71306902636363,128.72775637240107
AWV717,Poisson_Regression,0.08661552010224005,155.20546268765003,129.11842347809335
AWV717,Random_Forest,0.03062485297976769,159.8917770821594,132.77191054792493
AWV717,Gradient_Boosting,0.0654071011534757,156.99702661759446,129.76086349161915
AWV316,Linear_Regression,0.06558200066421438,89.82901355650073,72.76450098575333
AWV316,Ridge_Regression,0.06946495000574315,89.6421782092568,72.61935510176814
AWV316,Poisson_Regression,0.07068765363715268,89.5832648746985,72.61925453882087
AWV316,Random_Forest,0.07319862175713876,89.4621576527303,73.5432909911499
AWV316,Gradient_Boosting,0.046916436124013416,90.7217716863578,72.75859802984067
AWV313,Linear_Regression,0.10420098558073465,174.99760298727446,156.39167894088652
AWV313,Ridge_Regression,0.10511822418989425,174.90798708823158,156.22848627427058
AWV313,Poisson_Regression,0.10222838123806677,175.19017475647053,156.29261138297244
AWV313,Random_Forest,0.10145379372219976,175.265734543564,156.60866408754868
AWV313,Gradient_Boosting,0.10592945615874927,174.8286899530967,156.00910985059912
AWV211,Linear_Regression,0.10161969592606412,41.964907472716426,31.738097744167316
AWV211,Ridge_Regression,0.10174299683010302,41.96202757399259,31.733380927481225
AWV211,Poisson_Regression,0.10135055482343869,41.97119302663521,31.757993402792206
AWV211,Random_Forest,-6.676220896086389,122.66760633946298,67.74465597119776
AWV211,Gradient_Boosting,-0.10275449337858156,46.493857150703036,34.970777184726415
